SK_TEMPO;NR_ANO;NR_MES;NR_DIA;ID_DIA_DA_SEMANA;DT_FERIADO;DT_DATA_COMPLETA
1010;2021;6;10;SEX;NÃO;2021-06-10
1011;2021;6;7;SEG;NÃO;2021-06-07
1012;2021;5;22;SAB;NÃO;2021-05-22
1013;2020;11;23;SEG;NÃO;2020-11-23
1014;2020;11;24;TER;NÃO;2020-11-24
1015;2020;11;25;QUA;NÃO;2020-11-25
1016;2020;10;28;QUA;NÃO;2020-10-28
1017;2020;10;27;TER;NÃO;2020-10-27
1018;2020;10;22;QUI;NÃO;2020-10-22
1019;2019;9;15;QUA;NÃO;2019-10-30
1020;2019;9;17;SAB;SIM;2019-10-12
1021;2019;9;19;SAB;SIM;2019-09-07
1022;2019;8;18;DOM;NÃO;2019-08-18
1023;2019;8;12;SEG;NÃO;2019-08-12
1024;2018;3;11;DOM;NÃO;2018-03-11
1025;2018;2;10;SAB;NÃO;2018-03-10
